Column,Section,Label,Scale
RespondentID,-,Unique respondent identifier,Text
A1_AgeGroup,A - Demographic & Professional Profile,Age Group,Categorical
A2_Gender,A - Demographic & Professional Profile,Gender,Categorical
A3_Education,A - Demographic & Professional Profile,Highest Educational Qualification,Categorical
A4_Certifications,A - Demographic & Professional Profile,"Professional Certifications Held (pipe-separated, multi-select)",Categorical
A5_JobRole,A - Demographic & Professional Profile,Current Job Role/Title,Categorical
A6_YearsInCybersecurity,A - Demographic & Professional Profile,Total Years of Experience in Cybersecurity,Categorical
A7_YearsInSOC,A - Demographic & Professional Profile,Years of Experience Working in a SOC,Categorical
A8_IndustrySector,A - Demographic & Professional Profile,Industry Sector,Categorical
A9_OrganizationSize,A - Demographic & Professional Profile,Organization Size (employees),Categorical
A10_SOCTeamSize,A - Demographic & Professional Profile,SOC Team Size,Categorical
B1,B - AI Tool Adoption Profile,Item B1,1=Strongly Disagree .. 5=Strongly Agree
B2,B - AI Tool Adoption Profile,Item B2,1=Strongly Disagree .. 5=Strongly Agree
B3,B - AI Tool Adoption Profile,Item B3,1=Strongly Disagree .. 5=Strongly Agree
B4,B - AI Tool Adoption Profile,Item B4,1=Strongly Disagree .. 5=Strongly Agree
B5,B - AI Tool Adoption Profile,Item B5,1=Strongly Disagree .. 5=Strongly Agree
B6,B - AI Tool Adoption Profile,Item B6,1=Strongly Disagree .. 5=Strongly Agree
B7,B - AI Tool Adoption Profile,Item B7,1=Strongly Disagree .. 5=Strongly Agree
B8,B - AI Tool Adoption Profile,Item B8,1=Strongly Disagree .. 5=Strongly Agree
B9,B - AI Tool Adoption Profile,Item B9,1=Strongly Disagree .. 5=Strongly Agree
B10,B - AI Tool Adoption Profile,Item B10,1=Strongly Disagree .. 5=Strongly Agree
C1,C - AI Tool Adoption Maturity,Item C1,1-5 Likert
C2,C - AI Tool Adoption Maturity,Item C2,1-5 Likert
C3,C - AI Tool Adoption Maturity,Item C3,1-5 Likert
C4,C - AI Tool Adoption Maturity,Item C4,1-5 Likert
C5,C - AI Tool Adoption Maturity,Item C5,1-5 Likert
C6,C - AI Tool Adoption Maturity,Item C6,1-5 Likert
C7,C - AI Tool Adoption Maturity,Item C7,1-5 Likert
C8,C - AI Tool Adoption Maturity,Item C8,1-5 Likert
C9,C - AI Tool Adoption Maturity,Item C9,1-5 Likert
C10,C - AI Tool Adoption Maturity,Item C10,1-5 Likert
D1_1,D1 - Mean Time to Detect (MTTD),Item D1.1,1-5 Likert
D1_2,D1 - Mean Time to Detect (MTTD),Item D1.2,1-5 Likert
D1_3,D1 - Mean Time to Detect (MTTD),Item D1.3,1-5 Likert
D1_4,D1 - Mean Time to Detect (MTTD),Item D1.4,1-5 Likert
D1_5,D1 - Mean Time to Detect (MTTD),Item D1.5,1-5 Likert
D2_1,D2 - Mean Time to Respond (MTTR),Item D2.1,1-5 Likert
D2_2,D2 - Mean Time to Respond (MTTR),Item D2.2,1-5 Likert
D2_3,D2 - Mean Time to Respond (MTTR),Item D2.3,1-5 Likert
D2_4,D2 - Mean Time to Respond (MTTR),Item D2.4,1-5 Likert
D2_5,D2 - Mean Time to Respond (MTTR),Item D2.5,1-5 Likert
E1,E - Alert Triage Accuracy & FP Reduction,Item E1,1-5 Likert
E2,E - Alert Triage Accuracy & FP Reduction,Item E2,1-5 Likert
E3,E - Alert Triage Accuracy & FP Reduction,Item E3,1-5 Likert
E4,E - Alert Triage Accuracy & FP Reduction,Item E4,1-5 Likert
E5,E - Alert Triage Accuracy & FP Reduction,Item E5,1-5 Likert
E6,E - Alert Triage Accuracy & FP Reduction,Item E6,1-5 Likert
E7,E - Alert Triage Accuracy & FP Reduction,Item E7,1-5 Likert
E8,E - Alert Triage Accuracy & FP Reduction,Item E8,1-5 Likert
E9,E - Alert Triage Accuracy & FP Reduction,Item E9,1-5 Likert
E10,E - Alert Triage Accuracy & FP Reduction,Item E10,1-5 Likert
F1,F - Analyst Productivity,Item F1,1-5 Likert
F2,F - Analyst Productivity,Item F2,1-5 Likert
F3,F - Analyst Productivity,Item F3,1-5 Likert
F4,F - Analyst Productivity,Item F4,1-5 Likert
F5,F - Analyst Productivity,Item F5,1-5 Likert
F6,F - Analyst Productivity,Item F6,1-5 Likert
F7,F - Analyst Productivity,Item F7,1-5 Likert
F8,F - Analyst Productivity,Item F8,1-5 Likert
F9,F - Analyst Productivity,Item F9,1-5 Likert
F10,F - Analyst Productivity,Item F10,1-5 Likert
G1_1,G1 - Trust in AI,Item G1.1,1-5 Likert
G1_2,G1 - Trust in AI,Item G1.2,1-5 Likert
G1_3,G1 - Trust in AI,Item G1.3,1-5 Likert
G1_4,G1 - Trust in AI,Item G1.4,1-5 Likert
G1_5,G1 - Trust in AI,Item G1.5,1-5 Likert
G1_6,G1 - Trust in AI,Item G1.6,1-5 Likert
G1_7,G1 - Trust in AI,Item G1.7,1-5 Likert
G1_8,G1 - Trust in AI,Item G1.8,1-5 Likert
G2_1,G2 - Explainability & Transparency,Item G2.1,1-5 Likert
G2_2,G2 - Explainability & Transparency,Item G2.2,1-5 Likert
G2_3,G2 - Explainability & Transparency,Item G2.3,1-5 Likert
G2_4,G2 - Explainability & Transparency,Item G2.4,1-5 Likert
G2_5,G2 - Explainability & Transparency,Item G2.5 (reverse-coded),1-5 Likert
G2_6,G2 - Explainability & Transparency,Item G2.6,1-5 Likert
G2_7,G2 - Explainability & Transparency,Item G2.7,1-5 Likert
G2_8,G2 - Explainability & Transparency,Item G2.8,1-5 Likert
H1,H - Organizational Factors & Challenges,Item H1,1-5 Likert
H2,H - Organizational Factors & Challenges,Item H2,1-5 Likert
H3,H - Organizational Factors & Challenges,Item H3,1-5 Likert
H4,H - Organizational Factors & Challenges,Item H4,1-5 Likert
H5,H - Organizational Factors & Challenges,Item H5,1-5 Likert
H6,H - Organizational Factors & Challenges,Item H6,1-5 Likert
H7,H - Organizational Factors & Challenges,Item H7,1-5 Likert
H8,H - Organizational Factors & Challenges,Item H8,1-5 Likert
H9,H - Organizational Factors & Challenges,Item H9,1-5 Likert
H10,H - Organizational Factors & Challenges,Item H10,1-5 Likert
O1_MostValuableAIUseCase,O - Open-ended (simulated placeholder),Most valuable AI use case,Free text
O2_BiggestChallenge,O - Open-ended (simulated placeholder),Biggest challenge,Free text
O3_SuggestedImprovement,O - Open-ended (simulated placeholder),Suggested improvement,Free text
O4_AdditionalComments,O - Open-ended (simulated placeholder),Additional comments,Free text
